depth_percent,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,8200,8400,8600,8800,9000,9200,9400,9600,9800,10000,10200,10400,10600,10800,11000,11200,11400,11600,11800,12000,12200,12400,12600,12800,13000,13200,13400,13600,13800,14000,14200,14400,14600,14800,15000,15200,15400,15600,15800,16000,16200,16400,16600,16800,17000,17200,17400,17600,17800,18000,18200,18400,18600,18800,19000,19200,19400,19600,19800,20000,20200,20400,20600,20800,21000,21200,21400,21600,21800,22000,22200,22400,22600,22800,23000,23200,23400,23600,23800,24000,24200,24400,24600,24800,25000,25200,25400,25600,25800,26000,26200,26400,26600,26800,27000,27200,27400,27600,27800,28000,28200,28400,28600,28800,29000,29200,29400,29600,29800,30000,30200,30400,30600,30800,31000,31200,31400,31600,31800,32000
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,72.7273,72.7273,100.0,72.7273
11.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,100.0,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,100.0,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,100.0,72.7273,100.0,72.7273,100.0,72.7273,90.9091,72.7273,72.7273,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,63.6364,100.0,100.0,90.9091,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.6364,100.0,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,90.9091,90.9091
22.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,63.6364,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,90.9091,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,63.6364,100.0,72.7273,100.0,72.7273,72.7273,100.0,100.0,100.0,72.7273,72.7273,100.0,72.7273,100.0,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.9091,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,90.9091,90.9091,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,90.9091,100.0,100.0,72.7273,63.6364,63.6364,90.9091,72.7273,72.7273,100.0,72.7273,63.6364,63.6364
33.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,100.0,72.7273,72.7273,100.0,100.0,72.7273,100.0,72.7273,100.0,90.9091,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,100.0,72.7273,72.7273,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.6364,100.0,100.0,63.6364,72.7273,63.6364,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,63.6364,90.9091,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,90.9091,72.7273,72.7273,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,100.0,72.7273,72.7273,72.7273,100.0,63.6364,100.0,63.6364,100.0
44.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,72.7273,100.0,100.0,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,100.0,100.0,100.0,72.7273,72.7273,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,72.7273,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,72.7273,100.0,72.7273,100.0,100.0,72.7273,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,72.7273,63.6364,100.0,100.0,100.0,100.0,72.7273,100.0,63.6364,72.7273,63.6364,63.6364,100.0,100.0,100.0,63.6364,100.0,100.0,72.7273,100.0,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,72.7273,72.7273,100.0,36.3636,100.0,100.0,72.7273,72.7273,100.0,100.0,100.0,72.7273,100.0,100.0,72.7273,100.0,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,72.7273
56.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,100.0,72.7273,100.0,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,100.0,72.7273,100.0,72.7273,72.7273,63.6364,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,72.7273,90.9091,100.0,63.6364,100.0,100.0,100.0,72.7273,72.7273,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,63.6364,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,72.7273,72.7273,72.7273,72.7273,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,63.6364,100.0,63.6364,100.0,100.0,72.7273,100.0,100.0,72.7273,100.0,63.6364,72.7273,72.7273,72.7273,63.6364,100.0,72.7273,72.7273,63.6364,72.7273,72.7273,72.7273,72.7273,63.6364,63.6364,72.7273,72.7273,72.7273,72.7273,100.0,54.5455,63.6364,72.7273,72.7273,72.7273,63.6364,63.6364,63.6364,72.7273,100.0,72.7273,54.5455,72.7273,100.0
67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,72.7273,72.7273,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,72.7273,100.0,72.7273,72.7273,100.0,72.7273,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,63.6364,100.0,100.0,100.0,81.8182,100.0,90.9091,100.0,90.9091,100.0,72.7273,100.0,72.7273,100.0,72.7273,72.7273,100.0,100.0,100.0,72.7273,100.0,100.0,72.7273,72.7273,72.7273,90.9091,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,72.7273,72.7273,72.7273,72.7273,100.0,100.0,100.0,63.6364,72.7273,100.0,100.0,100.0,100.0,63.6364,72.7273,63.6364,63.6364,72.7273,100.0,72.7273,63.6364,100.0,63.6364,72.7273,63.6364,72.7273,63.6364,63.6364,63.6364,72.7273,54.5455,63.6364,72.7273,63.6364,72.7273,72.7273,63.6364,63.6364,72.7273,72.7273,72.7273,54.5455,72.7273,63.6364,63.6364,72.7273,100.0,100.0,72.7273,54.5455,72.7273,54.5455,100.0,54.5455,72.7273,72.7273,54.5455,72.7273,54.5455,72.7273,54.5455,54.5455,72.7273,72.7273,100.0,100.0,72.7273,72.7273,72.7273,36.3636,72.7273,72.7273,72.7273,63.6364
78.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,100.0,100.0,72.7273,72.7273,72.7273,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,90.9091,100.0,100.0,100.0,90.9091,100.0,90.9091,100.0,100.0,90.9091,100.0,63.6364,72.7273,100.0,72.7273,72.7273,72.7273,63.6364,72.7273,72.7273,100.0,72.7273,72.7273,72.7273,100.0,63.6364,72.7273,72.7273,72.7273,72.7273,72.7273,63.6364,100.0,100.0,63.6364,72.7273,90.9091,72.7273,100.0,72.7273,72.7273,72.7273,72.7273,100.0,100.0,63.6364,72.7273,63.6364,72.7273,72.7273,63.6364,63.6364,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,72.7273,63.6364,72.7273,100.0,72.7273,100.0,100.0,100.0,72.7273,72.7273,63.6364,63.6364,72.7273,72.7273,63.6364,72.7273,63.6364,63.6364,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,63.6364,72.7273,72.7273,72.7273,72.7273,72.7273,54.5455,36.3636,63.6364,36.3636,63.6364,63.6364,36.3636,72.7273,100.0,72.7273,100.0,63.6364,72.7273,63.6364,36.3636,63.6364,54.5455,63.6364,72.7273
89.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,100.0,100.0,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,100.0,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,72.7273,72.7273,100.0,72.7273,72.7273,72.7273,100.0,72.7273,100.0,100.0,72.7273,72.7273,72.7273,63.6364,100.0,72.7273,100.0,72.7273,100.0,100.0,63.6364,72.7273,100.0,100.0,100.0,100.0,90.9091,72.7273,72.7273,72.7273,72.7273,72.7273,100.0,100.0,72.7273,100.0,72.7273,36.3636,72.7273,100.0,100.0,100.0,72.7273,72.7273,100.0,72.7273,63.6364,72.7273,100.0,63.6364,45.4545,100.0,72.7273,100.0,100.0,100.0,100.0,100.0,72.7273,100.0,72.7273,100.0,63.6364,100.0,100.0,100.0,72.7273,100.0,100.0,100.0
