method,Method,NIAH Avg,Examples,Mean seconds,Model versions
snapkv,SnapKV,87.51,1560,4.82,mistral_7b_instruct_v02_snapkv_k128_ctx1000_22000_step200;mistral_7b_instruct_v02_snapkv_k128_ctx22200_32000_step200
dynamickv,DynamicKV,98.46,1560,4.99,mistral_7b_instruct_v02_dynamickv_k128_ctx1000_22000_step200;mistral_7b_instruct_v02_dynamickv_k128_ctx22200_32000_step200
adakv,Ada-KV,90.04,1560,3.62,mistral_7b_instruct_v02_adakv_k128_ctx1000_22000_step200;mistral_7b_instruct_v02_adakv_k128_ctx22200_32000_step200
surrogatekv-snap,SurrogateKV-Snap,98.84,1560,6.04,mistral_7b_instruct_v02_surrogatekvsnap_k128_ctx1000_22000_step200;mistral_7b_instruct_v02_surrogatekvsnap_k128_ctx22200_32000_step200
surrogatekv-ada,SurrogateKV-Ada,98.18,1560,NA,mistral7b_v02_true_headwise_k128_worker0_surrogatekv-ada_k128_ctx1000_32000_step800;mistral7b_v02_true_headwise_k128_worker1_surrogatekv-ada_k128_ctx1200_32000_step800;mistral7b_v02_true_headwise_k128_worker2_surrogatekv-ada_k128_ctx1400_32000_step800;mistral7b_v02_true_headwise_k128_worker3_surrogatekv-ada_k128_ctx1600_32000_step800
surrogatekv-dynamic,SurrogateKV-Dynamic,98.74,1560,5.97,mistral_7b_instruct_v02_surrogatekv-dynamic_k128_ctx1000_22000_step200;mistral_7b_instruct_v02_surrogatekv-dynamic_k128_ctx22200_32000_step200
